FrameId,Event,Type,OId,HId,D
227,35,SWITCH,61.0,33.0,0.07014353139474261
242,34,SWITCH,61.0,28.0,0.02028283479789783
243,34,SWITCH,61.0,33.0,0.07951290395567512
247,34,SWITCH,61.0,28.0,0.042551932558392624
248,34,SWITCH,61.0,33.0,0.07858572028501942
283,34,SWITCH,61.0,28.0,0.051988911059695934
284,34,SWITCH,61.0,33.0,0.07508130369445942
304,35,SWITCH,61.0,28.0,0.0570692554548583
305,35,SWITCH,61.0,33.0,0.05381733166184599
307,34,SWITCH,61.0,28.0,0.05622521988113205
308,34,SWITCH,61.0,33.0,0.06646368344265817
312,35,SWITCH,61.0,28.0,0.08547072552097422
313,35,SWITCH,61.0,33.0,0.07894749831491665
317,34,SWITCH,61.0,28.0,0.07557313010026645
318,34,SWITCH,61.0,33.0,0.06873592823851228
327,34,SWITCH,61.0,28.0,0.03987048142603278
328,34,SWITCH,61.0,33.0,0.03451264581199753
347,34,SWITCH,61.0,28.0,0.08470018141909652
349,35,SWITCH,61.0,33.0,0.07107600259879954
358,36,SWITCH,61.0,28.0,0.025655221965549143
359,36,SWITCH,61.0,33.0,0.06065496154556281
361,36,SWITCH,61.0,28.0,0.19030754015002305
362,36,SWITCH,61.0,33.0,0.21387028730432853
364,36,SWITCH,61.0,28.0,0.19326157627775864
365,36,SWITCH,61.0,33.0,0.167391106364687
374,36,SWITCH,61.0,28.0,0.11557394876947492
375,36,SWITCH,61.0,33.0,0.12922406026051192
384,36,SWITCH,61.0,28.0,0.13874615785769295
393,36,SWITCH,61.0,33.0,0.18163301459459813
396,36,SWITCH,61.0,28.0,0.04476953974233089
397,36,SWITCH,61.0,33.0,0.029122086293470132
398,36,SWITCH,61.0,28.0,0.09196309207630038
409,36,SWITCH,61.0,33.0,0.11344324812078133
464,36,SWITCH,18.0,39.0,0.4545282297916802
